QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05227953,8,0,1,365,D,,A,05,D,,A,,A,,,83,A,D
20232,05228213,30,0,1,100,D,1,D,03,D,,A,,A,,,40000,A,D
20232,05228213,31,0,1,225,D,,A,03,D,,A,,A,,,200,A,D
20232,05228213,32,0,1,225,D,,A,04,D,,A,,A,,,200,A,D
20232,05228213,33,0,1,225,D,,A,05,D,,A,,A,,,200,A,D
20232,05228633,10,0,1,225,D,,A,13,D,,A,,A,,,450,A,D
20232,05228873,5,0,1,100,D,2,D,03,D,,A,,A,,,5000,A,D
20232,05229183,3,0,1,303,D,,A,04,D,,A,,A,,,850,A,D
20232,05229303,8,0,1,200,D,,A,13,D,,A,,A,,,6015,A,D
20232,05229503,6,0,1,303,D,,A,03,D,,A,,A,,,550,A,D
20232,05229503,7,0,2,303,D,,A,03,D,,A,,A,,,550,A,D
20232,05229553,5,0,1,100,D,2,D,13,D,,A,,A,,,75,A,D
20232,05229553,6,0,2,365,D,,A,03,D,,A,,A,,,175,A,D
20232,05229963,7,0,1,200,D,,A,13,D,,A,,A,,,9600,A,D
20232,05230023,9,0,1,303,D,,A,03,D,,A,,A,,,667,A,D
20232,05230023,10,0,1,303,D,,A,04,D,,A,,A,,,667,A,D
20232,05230023,11,0,1,365,D,,A,04,D,,A,,A,,,50,A,D
20232,05230223,8,0,1,100,D,1,D,03,D,,A,,A,,,200,A,D
20232,05230223,9,0,1,200,D,,A,04,D,,A,,A,,,300,A,D
20232,05230263,4,0,1,365,D,,A,05,D,,A,,A,,,60,A,D
20232,05230323,7,0,1,365,D,,A,04,D,,A,,A,,1,125,A,D
20232,05230323,8,0,1,301,D,,A,13,D,,A,,A,,1,6900,A,D
20232,05230363,4,0,1,100,D,2,D,13,D,,A,,A,,,1200,A,D
20232,05230613,3,0,1,200,D,,A,13,D,,A,,A,,,2280,A,D
20232,05230943,9,0,1,302,D,,A,13,D,,A,,A,,,75,A,D
