QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05094934,24,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05094934,25,0,5,02,D,300,D,,A,3,D,,B,1983,D,,A,,A,,A,4200,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05095014,17,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095054,16,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095084,11,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,370,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095144,18,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095144,19,0,5,02,D,300,D,,A,1,D,,B,2016,D,,A,,A,,A,2700,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05095154,29,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095224,27,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,18329,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095244,12,0,5,01,D,100,D,,A,1,D,,B,1994,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095294,28,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095444,26,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,2800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095564,45,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,10000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095594,12,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,2500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095634,24,0,5,01,D,100,D,,A,3,D,,B,1989,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095674,19,0,5,01,D,100,D,,A,3,D,09,D,2022,D,,A,,A,,A,18329,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095744,25,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,4700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05095854,18,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096024,32,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096064,22,0,6,01,D,100,D,,A,3,D,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05096144,31,0,5,01,D,100,D,,A,3,D,07,D,2021,D,,A,,A,,A,6000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096174,33,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,360,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096344,15,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096354,33,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,8100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096364,15,0,5,01,D,100,D,,A,3,D,01,D,2021,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096424,10,0,5,01,D,100,D,,A,3,D,05,D,2022,D,100000,D,5000,D,8000,D,1700,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20232,05096564,25,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,5200,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05096564,26,0,5,02,D,300,D,,A,3,D,,B,2015,D,,A,,A,,A,30,D,2,D,,A,,A,,A,1,D,1,D,,A,,A,,A
20232,05096684,25,0,5,01,D,100,D,,A,1,D,,B,2020,D,,A,,A,,A,3100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096714,12,0,5,01,D,100,D,,A,3,D,,B,1980,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096754,8,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,2100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096764,29,0,1,01,D,100,D,,A,3,D,03,D,2022,D,,A,,A,,A,12000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096764,30,0,1,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096764,31,0,1,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096784,11,0,5,01,D,100,D,,A,3,D,10,D,2021,D,,A,,A,,A,7500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096804,11,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096864,20,0,5,01,D,100,D,,A,1,D,,B,2001,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096914,13,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096924,15,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,450,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05096944,18,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
